,Address,Listing Type,Asking Price,Bed/Bath Count
512,"4535 Hazel Bay Ct, Fulshear, TX",New construction,"$292,640","4 bds3 ba2,075 sqft"
513,"4022 Marlowe St, Houston, TX 77005",House for sale,"$1,250,000","3 bds4 ba2,849 sqft"
514,"3222 Westwick Dr, Houston, TX 77082",House for sale,"$225,000","4 bds3 ba2,125 sqft"
515,"19714 Creek Bend Trl, Houston, TX 77084",House for sale,"$182,500","3 bds2 ba1,810 sqft"
516,"37123 Clapp Rd, Brookshire, TX 77423",House for sale,"$399,000","3 bds2 ba1,120 sqft"
517,"9730 Railton St, Houston, TX 77080",House for sale,"$225,000","4 bds3 ba1,964 sqft"
518,"2211 Alabama St, Houston, TX 77004",House for sale,"$299,500","4 bds2 ba2,488 sqft"
519,"1420 County Road 233, Giddings, TX 78942",House for sale,"$70,000",Studio1 ba-- sqft
520,"Tbd Old Church Rd, Stagecoach, TX 77355",Lot / Land for sale,"$30,000","10,798 sqft lot"
521,"14215 Jade Cove Dr, Houston, TX 77077",House for sale,"$725,000","5 bds4 ba3,560 sqft"
522,"3519 Seabrook St, Houston, TX 77021",Lot / Land for sale,"$50,000","5,000 sqft lot"
523,"2907 Mountain Elm Trl, Katy, TX 77493",House for sale,"$335,000","6 bds4 ba3,844 sqft"
524,"18402 Hughlett Dr, Cypress, TX 77433",House for sale,"$424,000","5 bds4 ba3,376 sqft"
525,"155 Heather Ln, Livingston, TX 77351",House for sale,"$340,000","3 bds2 ba2,236 sqft"
526,"9167 16 Trl, Cut And Shoot, TX 77303",House for sale,"$320,000","4 bds2 ba2,467 sqft"
527,"Tbd Cr 610 Rd, Hamilton, TX 76531",Lot / Land for sale,"$58,500",-- sqft lot
528,"123 County Road 427, Lorena, TX 76655",Lot / Land for sale,"$99,500",-- sqft lot
529,"4104 Deer Top St, San Antonio, TX 78217",House for rent,"$1,395/mo","3 bds2 ba1,920 sqft"
530,"6208 Kary Lynn Dr S, Watauga, TX 76148",For sale by owner,"$185,000","3 bds1 ba1,487 sqft"
531,"155 W Ranch Rd, Refugio, TX 78377",House for sale,"$70,000","3 bds2 ba1,392 sqft"
532,"1203 E 31st St # A4, Austin, TX 78722",Apartment for rent,$699/mo,"4 bds1 ba1,428 sqft"
533,"6345 Tess Rd, Temple, TX 76502",House for sale,"$211,985","4 bds3 ba1,953 sqft"
534,"6341 Tess Rd, Temple, TX 76502",House for sale,"$183,085","4 bds2 ba1,568 sqft"
535,"6341 Tess Rd, Temple, TX 76502",House for sale,"$183,085","4 bds2 ba1,568 sqft"
536,"309 Mar Vista Pl, Horizon City, TX 79928",House for sale,"$198,450","4 bds3 ba1,998 sqft"
537,"502 Sue St, Longview, TX 75602",House for sale,"$85,000","3 bds2 ba1,266 sqft"
538,"501 Winship Rd, Pleasanton, TX 78064",House for rent,"$1,100/mo","3 bds2 ba1,365 sqft"
539,"2722 Mayflower Landing Ct, Webster, TX 77598",House for rent,"$1,400/mo","3 bds2 ba1,684 sqft"
540,"503 Winship Rd, Pleasanton, TX 78064",House for rent,"$1,000/mo","3 bds2 ba1,365 sqft"
541,"Tbd Fleetwood Ave, La Feria, TX 78559",Lot / Land for sale,"$19,000","10,554 sqft lot"
542,"4114 Watusi Ct, Laredo, TX 78045",House for sale,"$165,000","3 bds2 ba1,263 sqft"
543,"1632 Sunfire Cir, New Braunfels, TX 78130",House for sale,"$198,500","3 bds2 ba1,243 sqft"
544,"211 High More Ct, Temple, TX 76502",House for sale,"$212,485","3 bds3 ba2,091 sqft"
545,"2101 23rd St, Lubbock, TX 79411",Townhouse for rent,$475/mo,"1 bd1 ba1,468 sqft"
546,"1213 Nicole Way, Fort Worth, TX 76028",House for sale,"$205,000","3 bds3 ba1,730 sqft"
547,"113 Remington Dr, Palmer, TX 75165",Home for sale,"$165,000","3 bds2 ba1,400 sqft"
548,"2722 Hondo Ave LOT 2, Dallas, TX 75219",Lot / Land for sale,"$199,000","6,272 sqft lot"
549,"709 Barton Ave LOT 7, Glenn Heights, TX 75154",Lot / Land for sale,"$124,990",2.01 acres lot
550,"201 Muir Hill Dr, Aledo, TX 76008",House for sale,"$575,000","4 bds4 ba3,470 sqft"
551,"5616 Snowberry Dr, Plano, TX",New construction,"$631,400","5 bds5 ba3,654 sqft"
552,"5620 Snowberry Dr, Plano, TX",New construction,"$639,900","6 bds5 ba3,946 sqft"
553,"709 Keystone Way, Keller, TX 76248",House for sale,"$707,000","6 bds4 ba4,704 sqft"
554,"112 W Payne St, Olney, TX 76374",House for sale,"$15,000","Studio-- ba1,148 sqft"
555,"W Dry Creek Rd LOT 46, Weatherford, TX 76088",Lot / Land for sale,"$70,000",2.2 acres lot
556,"1417 Post Oak Dr, Rowlett, TX 75089",House for sale,"$229,000","3 bds2 ba1,386 sqft"
557,"7337 Century Dr, Fort Worth, TX 76182",House for sale,"$295,000","3 bds2 ba2,039 sqft"
558,"5612 Snowberry Dr, Plano, TX",New construction,"$552,800","5 bds4 ba3,017 sqft"
559,"999 Mary Fitch Rd, Tom Bean, TX 75090",Lot / Land for sale,"$148,500",15 acres lot
560,"201 Lexington Dr, Austin, TX 78737",House for sale,"$340,500","3 bds2 ba2,114 sqft"
561,"217 Red Oak Rdg, Maud, TX 75567",House for sale,"$260,000","3 bds3 ba2,805 sqft"
562,"100 Polk Ave, Sabinal, TX 78881",House for sale,"$169,999","2 bds1 ba1,416 sqft"
563,"1105 Village Dr, College Station, TX 77840",House for rent,"$2,700/mo","4 bds3 ba1,984 sqft"
564,"206 High More Ct, Temple, TX 76502",House for sale,"$171,140","3 bds2 ba1,368 sqft"
565,"206 High More Ct, Temple, TX 76502",House for sale,"$171,140","3 bds2 ba1,368 sqft"
566,"1697 Chachalaca Ln, Abilene, TX 79605",House for rent,"$1,150/mo","3 bds2 ba1,448 sqft"
567,"27th St, Lubbock, TX 79410",House for rent,"$1,550/mo","3 bds2 ba2,321 sqft"
568,"411 Shannon Lee St, San Antonio, TX 78216",House for rent,"$1,200/mo","3 bds2 ba1,092 sqft"
569,"410 Pine Oak Dr, Athens, TX 75751",For sale by owner,"$125,000","3 bds2 ba1,156 sqft"
570,"2200 Mitzie Ln, Palestine, TX 75803",House for rent,"$1,950/mo","3 bds3 ba2,966 sqft"
571,"114 S Jefferson St, Midland, TX 79701",Lot / Land for sale,"$45,000","7,013 sqft lot"
572,"807 W Sabine St, Groesbeck, TX 76642",House for rent,$495/mo,2 bds1 ba720 sqft
573,"1133 Valley Ridge Dr, Woodway, TX 76712",House for rent,"$1,895/mo","4 bds2.5 ba2,730 sqft"
574,"505 Lantana Dr, Arlington, TX 76018",House for rent,"$1,400/mo","3 bds2 ba1,056 sqft"
575,"2108 Presidio Cir, Euless, TX 76040",House for rent,"$2,675/mo","4 bds3.5 ba2,796 sqft"
576,"2512 Cima Hill Dr, Plano, TX 75025",House for rent,"$2,700/mo","4 bds2.5 ba3,085 sqft"
577,"2617 Castle Creek Dr, Little Elm, TX 75068",House for rent,"$1,850/mo","4 bds2 ba2,116 sqft"
578,"2501 Royal Birkdale Dr, Plano, TX 75025",House for rent,"$3,195/mo","5 bds4 ba3,474 sqft"
579,"18507 Timber Oaks Dr, Dallas, TX 75287",House for rent,"$2,000/mo","3 bds2.5 ba2,232 sqft"
580,"510 Vega Dr, Corpus Christi, TX 78418",House for rent,"$1,300/mo","3 bds2 ba1,361 sqft"
581,"936 Allende St, Seguin, TX 78155",House for rent,$850/mo,"4 bds1 ba1,240 sqft"
582,"6 Teakwood St, Abilene, TX 79601",Townhouse for rent,$625/mo,1 bd1 ba546 sqft
583,"4019 Peperport Dr, Greenville, TX 75402",House for rent,$995/mo,"3 bds2 ba1,166 sqft"
584,"4740 Meadow Green Trl, Keller, TX 76244",House for rent,"$1,999/mo","3 bds2.5 ba2,350 sqft"
585,"1021 N Churchill Dr, Fate, TX 75189",House for rent,"$1,700/mo","3 bds2 ba1,508 sqft"
586,"413 Bradfield Dr, Buda, TX 78610",House for rent,"$2,000/mo","4 bds2 ba2,476 sqft"
587,"3017 Rivera Ave # BACK, El Paso, TX 79905",Apartment for rent,$415/mo,1 bd1 ba700 sqft
588,"409 N Heights St, Winters, TX 79567",House for sale,"$29,900","3 bds2 ba1,620 sqft"
589,"1402 Woodlawn Ave, Dallas, TX 75208",Apartment for rent,"$1,900/mo","1 bd1 ba1,540 sqft"
590,"5523 Matalee Ave, Dallas, TX 75206",House for rent,"$4,995/mo","3 bds3 ba2,664 sqft"
591,"5315 Ranya Ct, Fort Worth, TX 76126",House for sale,"$320,000","4 bds3 ba2,373 sqft"
592,"3000 Shires Dr, Mansfiel, TX 76084",House for sale,"$421,907","4 bds3 ba3,278 sqft"
593,"10872 County Road 4038, Scurry, TX 75158",House for sale,"$233,900","3 bds2 ba1,997 sqft"
594,"102 N Williams St, Cumby, TX 75433",House for sale,"$30,000",2 bds1 ba686 sqft
595,"1103 Navajo Cir, Carrollton, TX 75007",House for sale,"$285,000","3 bds2 ba1,698 sqft"
596,"106 N Williams St, Cumby, TX 75433",House for sale,"$145,000","3 bds2 ba1,780 sqft"
597,"1103 Navajo Cir, Carrollton, TX 75007",House for sale,"$285,000","3 bds2 ba1,698 sqft"
598,"102 N Williams St, Cumby, TX 75433",House for sale,"$30,000",2 bds1 ba686 sqft
599,"207 W Avenue E, Garland, TX 75040",House for sale,"$139,900",2 bds1 ba910 sqft
600,"Tbd County Road 4701, Sulphur Springs, TX 75482",Lot / Land for sale,"$70,000",7 acres lot
601,"1045 Signal Ridge Pl, Rockwall, TX 75032",Condo for sale,"$189,900","2 bds2 ba1,114 sqft"
602,"W Dry Creek Rd LOT 45, Weatherford, TX 76088",Lot / Land for sale,"$70,000",2 acres lot
603,"11225 Cactus Ln, Dallas, TX 75238",House for rent,"$2,200/mo","3 bds2 ba1,624 sqft"
604,"1523 Viewridge Dr, San Antonio, TX 78213",House for rent,"$1,195/mo","3 bds2 ba1,265 sqft"
605,"14806 Elk Hill Ct, Houston, TX 77062",House for rent,"$1,950/mo","4 bds2.5 ba2,069 sqft"
606,"1244 Hickory Bend Ln, Fort Worth, TX 76108",House for rent,"$1,550/mo","3 bds2 ba1,825 sqft"
607,"502 Avalon Dr, Gladewater, TX 75647",House for rent,"$1,095/mo","2 bds1.5 ba1,629 sqft"
608,"4613 Provence Dr, Argyle, TX 76226",House for rent,"$1,995/mo","4 bds2 ba1,451 sqft"
609,"195 Cemetery Rd, Pottsboro, TX 75076",House for sale,"$352,000","4 bds3 ba3,080 sqft"
610,"111 Christopher Dr, Killeen, TX 76542",House for sale,"$214,900","3 bds2 ba1,788 sqft"
611,"1812 Circle Dr, Tyler, TX 75703",House for rent,"$1,750/mo","3 bds2 ba1,833 sqft"
612,"17724 Southpoint Rd, Whitehouse, TX 75791",House for sale,"$1,495,000","4 bds5 ba5,000 sqft"
613,"312 Chasmier Way, Fort Worth, TX 76134",House for rent,"$1,195/mo","3 bds1 ba1,116 sqft"
614,"21802 Kardy St, Spring, TX 77388",House for rent,"$1,600/mo","3 bds2 ba1,886 sqft"
615,"103 Ridglea Dr, Midland, TX 79701",House for rent,"$2,300/mo","3 bds2 ba1,344 sqft"
616,"1416 French St, Belton, TX 76513",Apartment for rent,"$1,025/mo","3 bds2 ba1,287 sqft"
617,"202 Liverpool Dr # A, Austin, TX 78745",Apartment for rent,"$1,250/mo","3 bds1 ba1,025 sqft"
618,"2105 Woodlawn Dr, Midland, TX 79705",House for sale,"$349,900","4 bds3 ba2,602 sqft"
619,"713 S Chilton Ave, Tyler, TX 75701",Apartment for rent,$850/mo,"1 bd1 ba1,000 sqft"
620,"11917 Clearpoint Ct, Frisco, TX 75036",House for rent,"$2,050/mo","4 bds2 ba2,018 sqft"
